,content,Genre,Description Style
0,"<p>কার্তিক শেষ হলো কাল। আজ অগ্রহায়ণের প্রথম দিন। শীতের আগমনী বার্তা এখন রাজধানীর আকাশে-বাতাসে। এমন আবহাওয়ায় গতকাল সন্ধ্যায় সেগুনবাগিচার শিল্পকলা একাডেমির জাতীয় নাট্যশালায় মিলনায়তন নিক্বণধ্বনিতে জমে উঠেছিল। এখানে শুরু হয় নয় দিনের দ্বিতীয় জাতীয় নৃত্যনাট্য উৎসব।<br />সোমবার সন্ধ্যায় শিল্পকলা একাডেমির মূল হলে উৎসবের উদ্বোধন করেন অর্থমন্ত্রী আবুল মাল আবদুল মুহিত। অর্থমন্ত্রী সমাজ রক্ষা, উন্নয়ন, মানবিক গুণাবলি বিকাশের জন্যও নৃত্যনাট্য চর্চার গুরুত্ব রয়েছে বলে মন্তব্য করেন। তিনি বলেন, ‘সংস্কৃতির নানা মাধ্যমের মধ্যে নৃত্যনাট্য একটি শক্তিশালী মাধ্যম, যা নানা শিক্ষা দেয়। এই মাধ্যম থেকে রস আস্বাদন করে আমরা সমৃদ্ধ হতে পারি।’<br />অনুষ্ঠানে বিশেষ অতিথির বক্তব্য দেন সংস্কৃতিসচিব আকতারী মমতাজ। আরও বক্তব্য দেন নাট্যব্যক্তিত্ব নাসির উদ্দীন ইউসুফ, প্রবীণ নৃত্যশিল্পী রাহিজা খানম ও বাংলাদেশ নৃত্যশিল্পী সংস্থার সভাপতি মিনু হক। সভাপতিত্ব করেন শিল্পকলা একাডেমির মহাপরিচালক লিয়াকত আলী। রাহিজা খানম সংস্কৃতি খাতে বাজেটের অপ্রতুলতার দিকটি তুলে ধরে বলেন, ‘বাজেটের জন্য আমরা অনেক ভালো কাজ করতে চেয়েও পারি না।’ তার কথার সূত্র ধরে সংস্কৃতি খাতে সরকারি পৃষ্ঠপোষকতা বাড়ানোর দাবি জানান নাসির উদ্দীন ইউসুফ। জাতীয় উৎসবগুলো কেন্দ্রীয়ভাবে হওয়ার চেয়ে সারা দেশের স্কুল-কলেজে হওয়াই গুরুত্বপূর্ণ বলে মন্তব্য করেন তিনি।<br />উদ্বোধন ও বক্তৃতাপর্ব শেষে ফারহানা চৌধুরীর পরিচালনায় বাংলাদেশ একাডেমি অব ফাইন আর্টস পরিবেশন করে নৃত্যনাট্য নকশী কাঁথার মাঠ।</p>","['Culture', 'Entertainment']",Straight
1,"<p>রাজধানী ঢাকার ২১টি এলাকা চিকুনগুনিয়া বিস্তারের জন্য অধিক ঝুঁকিপূর্ণ। এসব এলাকায় চিকুনগুনিয়া বাহক মশার ঘনত্ব বেশি। এলাকাগুলো হচ্ছে উত্তরা ৯ নম্বর সেক্টর, মধ্যবাড্ডা, গুলশান-১, লালমাটিয়া, পল্লবী, মগবাজার, মালিবাগ চৌধুরী পাড়া, রামপুরা, তেজগাঁও, বনানী, নয়াটোলা, কুড়িল, পীরেরবাগ, রায়ের বাজার, শ্যামলী, উত্তরা ৪ নম্বর সেক্টর, মণিপুরিপাড়া, মোহাম্মদপুর, মহাখালী, মিরপুর-১ ও কড়াইল বস্তি।</p>","['Health', 'Government actions']",Straight
2,"<p>আজ বৃহস্পতিবার সচিবালয়ে স্বাস্থ্য অধিদপ্তরের আইইডিসিআর সম্প্রতি পরিচালিত গবেষণা প্রতিবেদন উপস্থাপন করা হয়। প্রতিবেদনে ঢাকা শহরের ২১টি এলাকাকে চিকুনগুনিয়ার জন্য অধিক ঝুঁকিপূর্ণ বলে উল্লেখ করা হয়। সচিবালয়ে চিকুনগুনিয়া রোগ বিস্তার রোধে করণীয়সংক্রান্ত এ সভায় সভাপতিত্ব করেন স্বাস্থ্যমন্ত্রী মোহাম্মদ নাসিম। ঝুঁকিপূর্ণ এলাকাগুলোতে মশা নিধন কার্যক্রম চালানোর জন্য নির্দেশ দিয়ে স্বাস্থ্যমন্ত্রী বলেন, বাড়িঘরের মধ্য অনেক সময় অনেক দিন পানি জমে থাকে। ফলে সেখানে এডিস মশার উৎপত্তি হতে পারে। তাই বাড়ির ভেতরে, বাড়ির ছাদে যেন পানি জমে না থাকে, সেদিকে জনগণকে খেয়াল রাখাতে হবে।</p>","['Health', 'Government actions']",Straight
3,"<p>চিকুনগুনিয়া ও ডেঙ্গু প্রতিরোধে আতঙ্ক না ছড়িয়ে গণসচেতনতা কার্যক্রম জোরদার করার আহ্বান জানিয়ে স্বাস্থ্যমন্ত্রী বলেন, চিকুনগুনিয়া ও ডেঙ্গু রোগের প্রাদুর্ভাবের কোনো আশঙ্কা নেই। সরকার এ ক্ষেত্রে বরাবরের মতোই প্রস্তুত। চিকুনগুনিয়া জীবনঘাতী কোনো রোগ নয়।</p>",['Health'],Straight
4,"<p>সভায় স্বাস্থ্যসেবা বিভাগের সচিব সিরাজুল হক খান, স্বাস্থ্য অধিদপ্তরের মহাপরিচালক অধ্যাপক আবুল কালাম আজাদসহ স্বাস্থ্য মন্ত্রণালয়, স্বাস্থ্য অধিদপ্তর, ঢাকা উত্তর ও দক্ষিণ সিটি করপোরেশনের ঊর্ধ্বতন কর্মকর্তারা উপস্থিত ছিলেন।</p>","['Health', 'Government actions']",Straight
5,"ছাত্রলীগের বর্তমান কমিটির মেয়াদ শেষ হচ্ছে আজ বুধবার। এরই মধ্যে পরবর্তী সম্মেলন নিয়ে নেতাকর্মীদের মধ্যে শুরু হয়েছে জল্পনা কল্পনা। পরবর্তী নেতৃত্বে আসতে ইচ্ছুক নেতারা তৎপর লবিং-তদবিরে। সংগঠনের ২৮তম জাতীয় সম্মেলনে আওয়ামী লীগ সভানেত্রী শেখ হাসিনার বক্তব্য এবং সম্প্রতি ছাত্রলীগের পরবর্তী সম্মেলন নিয়ে দলের সাধারণ সম্পাদক ওবায়দুল কাদেরের বক্তব্য নেতাকর্মীদের মধ্যে তৈরি করেছে বাড়তি উচ্ছ্বাস। এমন অবস্থায় আওয়ামী লীগ ও ছাত্রলীগের একাধিক কেন্দ্রীয় নেতা বলছেন, আগামী অক্টোবর-নভেম্বরের দিকে আসতে পারে ঐতিহ্যবাহী এ সংগঠনটির পরবর্তী সম্মেলনের ঘোষণা।২০১৫ সালের ২৫ ও ২৬ জুলাই ছাত্রলীগের ২৮তম সম্মেলন শেষে সাইফুর রহমান সোহাগকে সভাপতি ও এসএম জাকির হোসাইকে সাধারণ সম্পাদক করে পাঁচ সদস্যের কমিটি ঘোষণা করা হয়। গঠনতন্ত্র অনুযায়ী কমিটির মেয়াদ দুই বছর। সে হিসেবে আজ বুধবার বর্তমান কমিটির মেয়াদ শেষ হচ্ছে। ছাত্রলীগের গঠনতন্ত্রের ৫ নম্বর ধারা অনুযায়ী ২৭ বছরের বেঁধে দেয়া বয়সসীমা পরবর্তী সম্মেলনে বাড়ানো হবে কিনা- তা নিয়েও চলছে নানা আলোচনা।ছাত্রলীগের পূর্ববর্তী জাতীয় সম্মেলনে প্রধানমন্ত্রী শেখ হাসিনা সংগঠনের নেতৃত্বের বয়সসীমা ২৭ বছরের স্থলে ২৯ বছর করার ঘোষণা দেন। তিনি তখন বলেছিলেন, আমি নেতৃত্বের বয়স ২৭ বছর ঠিক করে দিয়েছিলাম। সম্মেলন বিলম্বিত হওয়ায় দুই বছর নষ্ট হয়েছে। তাই গ্রেস পিরিয়ড দিতে হয়। এটি এখন ২৯ বছর হয়ে গেছে। ২৯ বছরই থাকতে হবে। তিনি বলেন, দুই বছর দেরি হওয়ায় আমি দোষ দেই না। ২০১৩ সালের মে থেকে নির্বাচন ঠেকানোর নামে যে তাণ্ডব চালানো হয়েছে। ওই অবস্থায় সম্মেলন করা কঠিন ছিল। সংগঠনের স্বাভাবিক কার্যক্রম পরিচালিত হতে পারেনি বলেই দুই বছর দেরি হয়ে গেছে।আওয়ামী লীগ সভানেত্রীর এমন বক্তব্য বিশ্লেষণ করে ছাত্রলীগ নেতাকর্মীরা বলছেন, যেহেতু ছাত্রলীগের বর্তমান কমিটিকে বড় ধরনের কোনো আন্দোলন-সংগ্রামের মুখোমুখি হতে হয়নি তাই এবার হয়তো অতি দ্রুতই সম্মেলনের ঘোষণা আসবে। আর আগামী জাতীয় নির্বাচন সামনে রেখে নতুনভাবে সংগঠন গোছাতে চলতি বছরের মধ্যেই সম্মেলন হয়ে যাবে বলে মনে করছেন তারা। যদি নির্ধারিত সময়েই সম্মেলন হয়, তাহলে তো নেতৃত্বজট আর থাকছে না। সে ক্ষেত্রে পরবর্তী নেতৃত্ব নির্বাচনে সর্বোচ্চ বয়স কত হবে- তা নিয়েও হচ্ছে আলোচনা। তবে নেতাকর্মীরা বলছেন, যত আলোচনাই হোক না কেন, সবশেষে প্রধানমন্ত্রী শেখ হাসিনা যা বলবেন তাই চূড়ান্ত হবে।সম্মেলন নিয়ে জানতে চাইলে আওয়ামী লীগের একজন সাংগঠনিক সম্পাদক বলেন, যেহেতু আগস্ট মাসে আওয়ামী লীগ ও এর অঙ্গ সংগঠনগুলোর কমিটি হয় না। সে ক্ষেত্রে সেপ্টেম্বর-অক্টোবরের দিকে ছাত্রলীগের পরবর্তী সম্মেলনের তারিখ ঘোষণা হতে পারে। ‘সেপ্টেম্বর থেকে নভেম্বরের মধ্যে ছাত্রলীগের পরবর্তী সম্মেলন হবে।’গত ১৩ জুলাই বিকালে ধানমণ্ডিতে আওয়ামী লীগ সভানেত্রীর রাজনৈতিক কার্যালয়ে দলের সম্পাদকমণ্ডলীর বৈঠক শেষে সাংবাদিকদের দলের সাধারণ সম্পাদক ওবায়দুল কাদের বলেছিলেন, ‘ছাত্রলীগের সম্মেলন প্রলম্বিত হবে না। শিগগিরই আপনারা ছাত্রলীগের সম্মেলনের খবর পাবেন।’ ছাত্রলীগ নেতাকর্মীরা মনে করছেন, আওয়ামী লীগের হাইকমান্ড থেকে দেয়া বক্তব্য ইঙ্গিত করে যে দ্রুতই সম্মেলন হয়ে যাবে।তবে পরবর্তী সম্মেলনের তারিখ ঘোষণার ক্ষেত্রে আগামী জাতীয় নির্বাচন সামনে রেখে বিরোধী পক্ষ থেকে কী ধরনের কর্মসূচি আসছে তা অত্যন্ত গুরুত্বপূর্ণ। সে ক্ষেত্রে চলতি বছরের মধ্যেই কমিটি গঠনের সর্বোচ্চ চেষ্টা থাকবে। যদি কোনো কারণে সেটি পিছিয়ে যায়- সে ক্ষেত্রে সম্মেলন পিছিয়ে যেতে পারে আগামী জাতীয় নির্বাচন পর্যন্ত। তবে আওয়ামী লীগ ও ছাত্রলীগের সব পর্যায় থেকেই একটি কথা বলা হচ্ছে, সেটি হল ‘প্রধানমন্ত্রীর সিদ্ধান্ত অনুযায়ী সব হবে।’এ বিষয়ে ছাত্রলীগ সভাপতি সাইফুর রহমান সোহাগ যুগান্তরকে বলেন, ‘ছাত্রলীগের ধারাবাহিকতা আমরা কখনই ভাঙব না। ধারাবাহিকভাবে সব ইউনিটে সম্মেলন দেয়া হচ্ছে। রাজধানীর বাইরের শাখাগুলোতে কমিটি দিয়ে একে একে ঢাকার শাখাগুলোতেও সম্মেলন দেয়া হবে। এরপর জাতীয় সম্মেলনের মাধ্যমে আমরাও বিদায় নেব। আর এ বিষয়ে নেত্রীর (প্রধানমন্ত্রী শেখ হাসিনা) সিদ্ধান্তই চূড়ান্ত।’ সাধারণ সম্পাদক এসএম জাকির হোসাইন যুগান্তরকে বলেন, ‘সম্মেলনের মাধ্যমে আমরা যেদিন দায়িত্বে এসেছি, তার পর দিন থেকেই আমাদের সম্মেলনের প্রস্তুতি শুরু হয়েছে। আস্তে আস্তে সব শাখায় সম্মেলন দেব। এরপর ঢাকা মহানগর উত্তর-দক্ষিণ ও ঢাকা বিশ্ববিদ্যালয়ের সম্মেলন হবে। এরপর জাতীয় সম্মেলনের মাধ্যমে আমরা বিদায় নেব। নেত্রীর (প্রধানমন্ত্রী শেখ হাসিনা) সিদ্ধান্ত মানতে আমরা শতভাগ প্রস্তুত।’ ","['Politics', 'Discourse']",Commentary
6,"যদি রাত পোহালে শোনা যেত বঙ্গবন্ধু মরে নাই/ যদি রাজপথে আবার মিছিল হতো, বঙ্গবন্ধুর মুক্তি চাই/ তবে বিশ্ব পেত এক মহান নেতা, আমরা পেতাম ফিরে জাতির পিতা...। সোহরাওয়ার্দী উদ্যানে নির্মিত স্বাধীনতা জাদুঘরের ভেতর জাতির জনক বঙ্গবন্ধুকে নিয়ে গাওয়া এ গানটি বাজছিল। এ সময় দর্শনার্থীরা গভীর মমতা নিয়ে বঙ্গবন্ধু ও তার পরিবারের সদস্যদের প্রতিকৃতি দেখছিলেন। এগুলো দেখে বহু দর্শনার্থীর চোখ বেয়ে পানি ঝড়ছিল। মঙ্গলবার জাদুঘরের ভেতরে এ দৃশ্য দেখা গেছে।শোকের মাস আগস্ট উপলক্ষে মাসব্যাপী সকাল ১০টা থেকে রাত ৮টা পর্যন্ত জাদুঘরটি খোলা থাকছে। সকাল থেকেই নারী-শিশু থেকে শুরু করে সব বয়সী মানুষ জাদুঘরে প্রবেশ করতে শুরু করেন। ১২ বছর পর্যন্ত বয়সী শিশুদের জন্য ‘সৌজন্য প্রবেশপত্র’ দেয়া হয়। ২ দিন সরেজমিন ঘুরে দেখা গেছে, স্বাধীনতা জাদুঘরটি ঘিরে শত শত মানুষ ভিড় জমাচ্ছেন। ","['Culture', 'Politics']",Straight
7,"<p>ধূসর স্যুট গায়ে সোনালিচুলো লোকটা গাড়ি থেকে নামার পরপরই পড়তে লাগল ফটোগ্রাফারদের মুহুর্মুহু ফ্লাশ। প্যারিসের আকাশে বাতাসে যেন গুঞ্জরণ ,‘স্বাগতম ডেভিড বেকহাম!’জানুয়ারির শেষ দিনেই চমক হয়ে এল খবরটা। ইংল্যান্ড, ইতালি বা অস্ট্রেলিয়া নয়, কেতাদুরস্ত সাবেক ইংল্যান্ড অধিনায়কের নতুন ঠিকানা হতে যাচ্ছে ফরাসি ক্লাব প্যারিস সেন্ট জার্মেই। আপাতত চুক্তিটা পাঁচ মাসের। পেট্রোডলারের কল্যাণে আর যাই হোক, অর্থের অভাব নেই পিএসজির। ইব্রাহিমোভিচ, থিয়াগো সিলভা, লুকাস মৌরাদের দলে এনে সেই প্রমাণ দলটি দিয়েছেও। কিন্তু বেকহামের প্রতি হঠাৎ কার্লো আনচেলত্তি উৎসাহী হয়ে উঠলেন কেন? বোঝাই যায়, পেছনে ফুটবলীয় কারণ না যতটা আছে , তার চেয়ে বেশি এই ফুটবলারের বিশ্বজোড়া পরিচিতি। আরও নির্দিষ্ট করে বললে বাণিজ্যিক মূল্য। ফুটবলের লোভনীয় আন্তর্জাতিক বাজার ধরার সুযোগ হাতছাড়া করা যায় নাকি!কত বেতন পাবেন এটা জানা যায়নি। কিন্তু সংবাদ সম্মেলনে অপ্রত্যাশিত এক ঘোষণায় সবাইকে হতচকিতই করে দিয়েছেন বেকহাম। পিএসজি থেকে যে বেতন পাবেন, তার পুরোটাই দান করে দেবেন প্যারিসে শিশুদের একটি দাতব্য প্রতিষ্ঠানে। গত পরশু স্বাস্থ্য পরীক্ষার আনুষ্ঠানিকতা শেষে সংবাদ সম্মেলনে বলেছেন আরও অনেক কথাই। চুক্তিটা স্বল্প সময়ের জন্য হলেও আত্মনিবেদনে কোনো খাদ থাকবে না তাঁর, ‘আমি যখনই খেলি বা যেখানেই খেলি, সব সময়ই ১৫০ ভাগ ঢেলে দিই।’ বয়স হয়ে গেছে ৩৭, প্রশ্ন ছিল বুটজোড়া তুলে রাখবেন কবে? সরাসরি কিছু বলেননি বেকহাম, ‘আমি জানি না এটাই আমার শেষ চুক্তি হতে যাচ্ছে কিনা। মানুষ বেশ কয়েক বছর থেকেই এটা বলছে। কিন্তু আমি এখনো খেলে যাচ্ছি। চুক্তিও সই করছি।’ জানিয়েছেন পিএসজিকে বেছে নেওয়ার পেছনের কারণটাও নিখাদ ফুটবলীয়ই, ‘আমি প্যারিসকে বেছে নিয়েছি, কারণ আমি দেখছি তারা কী করতে চেষ্টা করছে। কেমন খেলোয়াড়দের তারা দলে আনছে। সামনের ১০, ১৫, ২০ বছরে তারা অনেক সাফল্য পাবে।’ এএফপি।</p>","['Sports', 'Entertainment', 'Discourse']",Commentary
8,"চট্টগ্রাম অফিসচট্টগ্রাম নগরীর মোগলটুলি এলাকায় পুকুর ভরাট করে বহুতল ভবন নির্মাণ করায় জানে আলম নামে এক ব্যক্তিকে ৩ লাখ টাকা জরিমানা করেছে পরিবেশ অধিদপ্তর। এছাড়া বায়েজিদ থানার কুলগাঁও এলাকায় ত্রুটিপূর্ণ ইটিপি ব্যবহার করে পরিবেশের ক্ষতি করায় ইনোভা টেক্সটাইল লিমিটেড একটি ওয়াশিং কারখানাকে ৮৬ হাজার ৪০০ টাকা জরিমানা করা হয়েছে। গতকাল বুধবার পরিবেশ অধিদপ্তর চট্টগ্রাম মহানগর কার্যালয়ের এক সংবাদ বিজ্ঞপ্তিতে এ তথ্য জানানো হয়।সংবাদ বিজ্ঞপ্তিতে বলা হয়, মোগলটুলি কর্মাস কলেজ রোডস্থ কাটা বট গাছ মোড়ে পরিবেশ ছাড়পত্র ছাড়া পুকুর ভরাট করে সামার এয়াকুব টাওয়ার নামে ১৪ তলা বিশিষ্ট বহুতল ভবন নির্মাণ করায় জানে আলম নামে এক ব্যক্তিকে ৩ লাখ টাকা জরিমানা করা হয়েছে। এছাড়া ত্রুটিপূর্ণ ইটিপি’র মাধ্যমে পরিবেশের জন্য ক্ষতিকর তরল বর্জ্য নিঃসরণ করায় বায়েজিদ থানার পূর্ব কুলগাঁও জালালাবাদ এলাকায় অবস্থিত ইনোভা টেক্সটাইল লিমিটেড নামক ওয়াশিং কারখানাকে ৮৬ হাজার ৪০০ টাকা জরিমানা করা হয়।","['Government actions', 'Environment', 'Business & Economy']",Straight
9,"হাইকোর্ট বলেছে, ‘মামলার তদন্ত কর্মকর্তা যে ভুল করেছেন, সেটা ইচ্ছাকৃত ও উদ্দেশ্যপ্রণোদিত হয়ে। এটা মারাত্মক অপরাধ। এ ধরনের ভুলের জন্য কি আমরা তাকে ছেড়ে দেব?’ ছোট ভাই হত্যা মামলায় ১২ বছর বয়সী বড় ভাইয়ের কাছ থেকে জোর করে স্বীকারোক্তি আদায়ের ঘটনায় বিচারপতি জাহাঙ্গীর হোসেন সেলিম ও বিচারপতি এম আতোয়ার রহমানের দ্বৈত বেঞ্চ গতকাল রবিবার এ মন্তব্য করে।১১ জুন একটি ইংরেজি দৈনিকে ‘বিয়ারিং দ্য আনবিয়ারেবল’ শিরোনামে প্রকাশিত প্রতিবেদন যুক্ত করে হাইকোর্টে রিট করেন সুপ্রিম কোর্টের পাঁচ আইনজীবী। রিটে বলা হয়, ২০১৫ সালের ২৫ আগস্ট ৮ বছরের শিশুর মরদেহ উদ্ধারের এক দিন পর সারিয়াকান্দি থানায় মামলা করেন তার বাবা মহিদুল। জিজ্ঞাসাবাদের কথা বলে ১২ বছরের বড় ছেলেকে নিয়ে যায়। পরে শিশুটিকে বগুড়ার সিনিয়র জুডিশিয়াল ম্যাজিস্ট্রেট আদালতে হাজির করলে স্বীকারোক্তিমূলক জবানবন্দি দেয় সে।দিনমজুর মহিদুলের অভিযোগ, খুনিরা প্রভাবশালী। প্রথম তদন্ত কর্মকর্তা তাদের কাছ থেকে সুবিধা নিয়ে ছোট ছেলেকে খুনের স্বীকারোক্তি দিতে বড় ছেলেকে বাধ্য করা হয়েছে। পরে অভিযোগপত্র দিলে তাতে নারাজি দেন তিনি। রাষ্ট্রপক্ষের আবেদনে ২০১৭ সালে পিবিআইকে মামলাটি তদন্তের দায়িত্ব দেয় আদালত।এই রিটের পরিপ্রেক্ষিতে হাইকোর্ট মামলার প্রথম তদন্ত কর্মকর্তা বর্তমানে সিআইডির পরিদর্শক নয়ন কুমারকে তলব করে। ঐ তলব আদেশে নয়ন কুমার গতকাল হাইকোর্টে হাজির হন এবং নিঃশর্ত ক্ষমা প্রার্থনা করেন। একই সঙ্গে লিখিত ব্যাখ্যা দাখিল করেন। তবে ঐ ক্ষমা প্রার্থনার আবেদনে অসন্তোষ প্রকাশ করে আদালত বলেছে, উনি কীভাবে ১৬৪ ধারায় স্বীকারোক্তি নিয়েছেন জিজ্ঞেস করেন।রাষ্ট্রপক্ষের আইনজীবী ডেপুটি অ্যাটর্নি জেনারেল সারওয়ার হোসেন বাপ্পী বলেন, রাষ্ট্রপক্ষের আবেদনে নারী ও শিশু আদালত পিবিআইকে মামলাটি অধিকতর তদন্ত করতে নির্দেশ দেয়। পিবিআই তদন্ত করার সময় দুজনকে গ্রেপ্তার করেছে। তারা নিজেদের জড়িয়ে স্বীকারোক্তি দিয়েছে। আদালত সন্তুষ্ট হলে ক্ষমা করে দিতে পারেন।এই পর্যায়ে হাইকোর্ট বলে, ‘উনি ভুল করলে আমরা কি ছেড়ে দেব?’ আইনজীবী বলেন, ‘সেটা আপনাদের বিবেচনার ওপর নির্ভর করছে। আদালত বলে, ‘এটা ভুল নয়, মারাত্মক অপরাধ, যেটা তিনি করেছেন। ১২ বছরের একটি শিশু স্বীকারোক্তি দিয়ে বলেছে, ‘আমি আমার ভাইকে মেরে ফেলেছি। এটা কি সম্ভব! ১২ বছরের একটি ছেলে ৮ বছরের একটি ছেলেকে মেরে ফেলবে? পিবিআইয়ের কাছে দুজন স্বীকার করেছে, তারা আট বছর বয়সী শিশুটিকে মেরেছে। তাহলে ১২ বছর বয়সী শিশুটির জবানবন্দি কীভাবে নিল এই তদন্ত কর্মকর্তা?’আইনজীবী বলেন, ঐ কর্মকর্তার বিরুদ্ধে বিভাগীয় ব্যবস্থা নেওয়ার কার্যক্রম শুরু হয়েছে। এরপর রিটের পক্ষে আইনজীবী মোহাম্মদ শিশির মনির শুনানি করেন। শুনানি শেষে ৬ সেপ্টেম্বর এই মামলার পরবর্তী শুনানি হবে। ঐ দিন নয়ন কুমারকে আদালতে হাজির থাকতে বলা হয়েছে। এদিকে গতকাল আদালতে পিবিআইয়ের তদন্ত কর্মকর্তা মো. মনসুর আলীও হাজির ছিলেন। তিনি আদালতের বিভিন্ন প্রশ্নের জবাব দেন।ইত্তেফাক/এসআই","['Crime', 'Government actions', 'Discourse']",Investigation
